creation_date,update_date,codigo,nombre,vigencia,familia,tipo_plan,concepto
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810202004,CERTIFICADO PERSONA JURIDICA-CORREO/DOCUMENTOS FIRMADOS Y ENCRIPTADOS-SOFTWARE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810202005,CERTIFICADO DE PERSONA JURIDICA-CORREO/DOCUMENTOS FIRMADOS Y ENCRIPTADOS-ROAMING INCL SOFTWARE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810203001,CERTIFICADO DE PERSONA JURIDICA-CONEXIONES SEGURAS WEB-TOKEN PROPIO DEL CLIENTE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810203002,CERTIFICADO DE PERSONA JURIDICA-CONEXIONES SEGURAS WEB-TOKEN DE SECURITY DATA, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810203003,CERTIFICADO DE PERSONA JURIDICA-CONEXIONES SEGURAS WEB-TOKEN BIOMETRICO, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810203004,CERTIFICADO DE PERSONA JURIDICA-CONEXIONES SEGURAS WEB-SOFTWARE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810301001,CERTIFICADO REPRESENTANTE LEGAL-CORREO/DOCUMENTOS FIRMADOS-TOKEN  PROPIO DEL CLIENTE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810301002,CERTIFICADO REPRESENTANTE LEGAL-CORREO/DOCUMENTOS FIRMADOS-TOKEN DE SECURITY DATA, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810301003,CERTIFICADO REPRESENTANTE LEGAL-CORREO/DOCUMENTOS FIRMADOS-TOKEN BIOMETRICO, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810301004,CERTIFICADO REPRESENTANTE LEGAL-CORREO/DOCUMENTOS FIRMADOS- SOFTWARE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810302001,CERTIFICADO REPRESENTANTE LEGAL-CORREO/DOCUMENTOS FIRMADOS Y ENCRIPTADOS-TOKEN PROPIO DEL CLIENTE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810302002,CERTIFICADO REPRESENTANTE LEGAL-CORREO/DOCUMENTOS FIRMADOS Y ENCRIPTADOS-TOKEN DE SECURITY DATA, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810302003,CERTIFICADO REPRESENTANTE LEGAL-CORREO/DOCUMENTOS FIRMADOS Y ENCRIPTADOS-TOKEN BIOMETRICO, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810302004,CERTIFICADO REPRESENTANTE LEGAL-CORREO/DOCUMENTOS FIRMADOS Y ENCRIPTADOS-SOFTWARE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810302005,CERTIFICADO DE REPRESENTANTE LEGAL-CORREO/DOCUMENTOS FIRMADOS Y ENCRIPTADOS-ROAMING INCL SOFTWARE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810303001,CERTIFICADO DE REPRESENTANTE LEGAL-CONEXIONES SEGURAS WEB-TOKEN PROPIO DEL CLIENTE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810303002,CERTIFICADO DE REPRESENTANTE LEGAL-CONEXIONES SEGURAS WEB-TOKEN DE SECURITY DATA, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810303003,CERTIFICADO DE REPRESENTANTE LEGAL-CONEXIONES SEGURAS WEB-TOKEN BIOMETRICO, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810303004,CERTIFICADO DE REPRESENTANTE LEGAL-CONEXIONES SEGURAS WEB-SOFTWARE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810401001,CERTIFICADO FUNCIONARIO DE EMPRESA-CORREO/DOCUMENTOS FIRMADOS-TOKEN  PROPIO DEL CLIENTE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810401002,CERTIFICADO FUNCIONARIO DE EMPRESA-CORREO/DOCUMENTOS FIRMADOS-TOKEN DE SECURITY DATA, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810401003,CERTIFICADO FUNCIONARIO DE EMPRESA-CORREO/DOCUMENTOS FIRMADOS-TOKEN BIOMETRICO, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,120101003,EPASS 2000, ,TOKEN, ,TOKEN
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,120102001,WEB CERTIFICATES, ,TOKEN, ,TOKEN
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810101095,CERTIFICADO WEB, ,TOKEN, ,TOKEN
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810401004,CERTIFICADO FUNCIONARIO DE EMPRESA-CORREO/DOCUMENTOS FIRMADOS- SOFTWARE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810402001,CERTIFICADO FUNCIONARIO DE EMPRESA-CORREO/DOCUMENTOS FIRMADOS Y ENCRIPTADOS-TOKEN PROPIO DEL CLIENTE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810402002,CERTIFICADO FUNCIONARIO DE EMPRESA-CORREO/DOCUMENTOS FIRMADOS Y ENCRIPTADOS-TOKEN DE SECURITY DATA, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810402003,CERTIFICADO FUNCIONARIO DE EMPRESA-CORREO/DOCUMENTOS FIRMADOS Y ENCRIPTADOS-TOKEN BIOMETRICO, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810402004,CERTIFICADO FUNCIONARIO DE EMPRESA-CORREO/DOCUMENTOS FIRMADOS Y ENCRIPTADOS-SOFTWARE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810402005,CERTIFICADO DE FUNCIONARIO DE EMPRESA-CORREO/DOCUMENTOS FIRMADOS Y ENCRIPTADOS-ROAMING INCL SOFTWARE, ,CERTIFICADOS, , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810403001,CERTIFICADO DE FUNCIONARIO DE EMPRESA-CONEXIONES SEGURAS WEB-TOKEN PROPIO DEL CLIENTE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810403002,CERTIFICADO DE FUNCIONARIO DE EMPRESA-CONEXIONES SEGURAS WEB-TOKEN DE SECURITY DATA, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810403003,CERTIFICADO DE FUNCIONARIO DE EMPRESA-CONEXIONES SEGURAS WEB-TOKEN BIOMETRICO, , , , 
