codigo,codigo_nombre,familia_producto,atencion,venta_dirigida,concepto_1,concepto_2,plan,vigencia
AC.T.DISP.1.,Tokens y otros Dispositivos Epass3003,Aplicativos y certificado,NULL,NULL,T.DISP.1,Tokens y otros Dispositivos,Epass3003,NULL
AC.T.DISP.2.,Tokens y otros Dispositivos Epass2003,Aplicativos y certificado,NULL,NULL,T.DISP.2,Tokens y otros Dispositivos,Epass2003,NULL
AC.T.DISP.3.,Tokens y otros Dispositivos Epass 1000 (solo windows),Aplicativos y certificado,NULL,NULL,T.DISP.3,Tokens y otros Dispositivos,Epass 1000 (solo windows),NULL
AC.T.DISP.4.,Tokens y otros Dispositivos Safenet ikey2032,Aplicativos y certificado,NULL,NULL,T.DISP.4,Tokens y otros Dispositivos,Safenet ikey2032,NULL
AC.T.DISP.5.,Tokens y otros Dispositivos Biopass 3000,Aplicativos y certificado,NULL,NULL,T.DISP.5,Tokens y otros Dispositivos,Biopass 3000,NULL
AC.T.DISP.6.,Tokens y otros Dispositivos CD para archivo,Aplicativos y certificado,NULL,NULL,T.DISP.6,Tokens y otros Dispositivos,CD para archivo,NULL
AC.T.DISP.7.,Tokens y otros Dispositivos Smart Cards,Aplicativos y certificado,NULL,NULL,T.DISP.7,Tokens y otros Dispositivos,Smart Cards,NULL
AC.T.DISP.8.,Tokens y otros Dispositivos Lectores de Smart Cards,Aplicativos y certificado,NULL,NULL,T.DISP.8,Tokens y otros Dispositivos,Lectores de Smart Cards,NULL
AC.T.DISP.9.,Tokens y otros Dispositivos Lectores de Smart Cards bluetooth,Aplicativos y certificado,NULL,NULL,T.DISP.9,Tokens y otros Dispositivos,Lectores de Smart Cards bluetooth,NULL
AC.T.DISP.10.,Tokens y otros Dispositivos Fido,Aplicativos y certificado,NULL,NULL,T.DISP.10,Tokens y otros Dispositivos,Fido,NULL
AC.F.CIFR.1.,Aplicativo ESP para firmado y cifrado Software ESP,Aplicativos y certificado,NULL,NULL,F.CIFR.1,Aplicativo ESP para firmado y cifrado,Software ESP,NULL
AC.FIRM1.,Servicio de Firmado de Documentos Doc hasta 1000,Aplicativos y certificado,NULL,NULL,FIRM1,Servicio de Firmado de Documentos,Doc hasta 1000,NULL
AC.FIRM2.,Servicio de Firmado de Documentos Doc hasta 2500,Aplicativos y certificado,NULL,NULL,FIRM2,Servicio de Firmado de Documentos,Doc hasta 2500,NULL
AC.FIRM3.,Servicio de Firmado de Documentos Doc hasta 5000,Aplicativos y certificado,NULL,NULL,FIRM3,Servicio de Firmado de Documentos,Doc hasta 5000,NULL
AC.FIRM4.,Servicio de Firmado de Documentos Doc hasta 10000,Aplicativos y certificado,NULL,NULL,FIRM4,Servicio de Firmado de Documentos,Doc hasta 10000,NULL
AC.FIRM5.,Servicio de Firmado de Documentos Doc hasta 25000,Aplicativos y certificado,NULL,NULL,FIRM5,Servicio de Firmado de Documentos,Doc hasta 25000,NULL
AC.FIRM6.,Servicio de Firmado de Documentos Doc hasta 50000,Aplicativos y certificado,NULL,NULL,FIRM6,Servicio de Firmado de Documentos,Doc hasta 50000,NULL
AC.FIRM7.,Servicio de Firmado de Documentos Doc hasta 75000,Aplicativos y certificado,NULL,NULL,FIRM7,Servicio de Firmado de Documentos,Doc hasta 75000,NULL
AC.FIRM8.,Servicio de Firmado de Documentos Doc hasta 100000,Aplicativos y certificado,NULL,NULL,FIRM8,Servicio de Firmado de Documentos,Doc hasta 100000,NULL
AC.FIRM9.,Servicio de Firmado de Documentos Doc hasta 250000,Aplicativos y certificado,NULL,NULL,FIRM9,Servicio de Firmado de Documentos,Doc hasta 250000,NULL
AC.FIRM10.,Servicio de Firmado de Documentos Doc hasta 500000,Aplicativos y certificado,NULL,NULL,FIRM10,Servicio de Firmado de Documentos,Doc hasta 500000,NULL
AC.FIRM11.,Servicio de Firmado de Documentos Doc Ilimitados,Aplicativos y certificado,NULL,NULL,FIRM11,Servicio de Firmado de Documentos,Doc Ilimitados,NULL
AC.FIRM.INST.,Servicio de Firmado de Documentos Instalacion,Aplicativos y certificado,NULL,NULL,FIRM.INST,Servicio de Firmado de Documentos,Instalacion,NULL
AC.C.CA.,Contrato electronico Con almacenamiento,Aplicativos y certificado,NULL,NULL,C.CA,Contrato electronico,Con almacenamiento,NULL
AC.C.SA.,Contrato electronico Sin almacenamiento,Aplicativos y certificado,NULL,NULL,C.SA,Contrato electronico,Sin almacenamiento,NULL
AC.C.INST.,Contrato electronico Instalacion,Aplicativos y certificado,NULL,NULL,C.INST,Contrato electronico,Instalacion,NULL
AC.P.CA.,Poliza Electronica Con almacenamiento,Aplicativos y certificado,NULL,NULL,P.CA,Poliza Electronica,Con almacenamiento,NULL
AC.P.SA.,Poliza Electronica Sin almacenamiento,Aplicativos y certificado,NULL,NULL,P.SA,Poliza Electronica,Sin almacenamiento,NULL
AC.P.INST.,Poliza Electronica Instalacion,Aplicativos y certificado,NULL,NULL,P.INST,Poliza Electronica,Instalacion,NULL
F.ON.P.T.N.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Online,Personas Naturales,Token,Nuevo,NULL,Vigencia 1 ano
F.ON.P.T.N.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Online,Personas Naturales,Token,Nuevo,NULL,Vigencia 2 anos
F.ON.P.T.N.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Online,Personas Naturales,Token,Nuevo,NULL,Vigencia 3 anos
F.ON.R.T.N.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Online,Representante Legal,Token,Nuevo,NULL,Vigencia 1 ano
F.ON.R.T.N.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Online,Representante Legal,Token,Nuevo,NULL,Vigencia 2 anos
F.ON.R.T.N.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Online,Representante Legal,Token,Nuevo,NULL,Vigencia 3 anos
