codigo,codigo_nombre,familia_producto,atencion,venta_dirigida,concepto_1,concepto_2,plan,vigencia
SF.ON.P.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Personas Naturales,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.ON.P.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Personas Naturales,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.ON.P.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Personas Naturales,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.ON.P.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Personas Naturales,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.ON.P.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Personas Naturales,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.ON.R.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Representante Legal,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.ON.R.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Representante Legal,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.ON.R.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Representante Legal,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.ON.R.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Representante Legal,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.ON.R.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Representante Legal,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.ON.M.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Miembro de empresa,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.ON.M.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Miembro de empresa,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.ON.M.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Miembro de empresa,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.ON.M.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Miembro de empresa,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.ON.M.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Miembro de empresa,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.OF.P.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Personas Naturales,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.OF.P.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Personas Naturales,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.OF.P.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Personas Naturales,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.OF.P.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Personas Naturales,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.OF.P.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Personas Naturales,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.OF.R.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Representante Legal,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.OF.R.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Representante Legal,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.OF.R.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Representante Legal,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.OF.R.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Representante Legal,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.OF.R.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Representante Legal,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.OF.M.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Miembro de empresa,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.OF.M.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Miembro de empresa,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.OF.M.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Miembro de empresa,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.OF.M.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Miembro de empresa,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.OF.M.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Miembro de empresa,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.AG.P.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Personas Naturales,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.AG.P.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Personas Naturales,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.AG.P.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Personas Naturales,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.AG.P.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Personas Naturales,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.AG.P.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Personas Naturales,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.AG.R.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Representante Legal,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.AG.R.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Representante Legal,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.AG.R.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Representante Legal,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.AG.R.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Representante Legal,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.AG.R.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Representante Legal,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.AG.M.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Miembro de empresa,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.AG.M.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Miembro de empresa,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.AG.M.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Miembro de empresa,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.AG.M.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Miembro de empresa,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.AG.M.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Miembro de empresa,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.TE.P.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Personas Naturales,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.TE.P.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Personas Naturales,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.TE.P.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Personas Naturales,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.TE.P.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Personas Naturales,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.TE.P.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Personas Naturales,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.TE.R.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Representante Legal,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.TE.R.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Representante Legal,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.TE.R.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Representante Legal,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.TE.R.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Representante Legal,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.TE.R.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Representante Legal,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.TE.M.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Miembro de empresa,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.TE.M.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Miembro de empresa,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.TE.M.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Miembro de empresa,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.TE.M.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Miembro de empresa,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.TE.M.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Miembro de empresa,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.PR.P.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Personas Naturales,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.PR.P.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Personas Naturales,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.PR.P.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Personas Naturales,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.PR.P.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Personas Naturales,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.PR.P.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Personas Naturales,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.PR.R.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Representante Legal,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.PR.R.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Representante Legal,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.PR.R.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Representante Legal,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.PR.R.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Representante Legal,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.PR.R.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Representante Legal,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.PR.M.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Miembro de empresa,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.PR.M.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Miembro de empresa,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.PR.M.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Miembro de empresa,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.PR.M.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Miembro de empresa,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.PR.M.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Miembro de empresa,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.ON.P.S.R.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Personas Naturales,Sin firma,Renovacion,Mini,Vigencia 2 anos
SF.ON.P.S.R.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Personas Naturales,Sin firma,Renovacion,Basico,Vigencia 2 anos
SF.ON.P.S.R.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Personas Naturales,Sin firma,Renovacion,Esencial,Vigencia 2 anos
SF.ON.P.S.R.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Personas Naturales,Sin firma,Renovacion,Estandar,Vigencia 2 anos
SF.ON.P.S.R.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Personas Naturales,Sin firma,Renovacion,Premium,Vigencia 2 anos
SF.ON.R.S.R.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Representante Legal,Sin firma,Renovacion,Mini,Vigencia 2 anos
SF.ON.R.S.R.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Representante Legal,Sin firma,Renovacion,Basico,Vigencia 2 anos
SF.ON.R.S.R.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Representante Legal,Sin firma,Renovacion,Esencial,Vigencia 2 anos
SF.ON.R.S.R.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Representante Legal,Sin firma,Renovacion,Estandar,Vigencia 2 anos
SF.ON.R.S.R.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Representante Legal,Sin firma,Renovacion,Premium,Vigencia 2 anos
SF.ON.M.S.R.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Miembro de empresa,Sin firma,Renovacion,Mini,Vigencia 2 anos
SF.ON.M.S.R.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Miembro de empresa,Sin firma,Renovacion,Basico,Vigencia 2 anos
SF.ON.M.S.R.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Miembro de empresa,Sin firma,Renovacion,Esencial,Vigencia 2 anos
SF.ON.M.S.R.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Miembro de empresa,Sin firma,Renovacion,Estandar,Vigencia 2 anos
SF.ON.M.S.R.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Miembro de empresa,Sin firma,Renovacion,Premium,Vigencia 2 anos
SF.OF.P.S.R.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Personas Naturales,Sin firma,Renovacion,Mini,Vigencia 2 anos
SF.OF.P.S.R.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Personas Naturales,Sin firma,Renovacion,Basico,Vigencia 2 anos
SF.OF.P.S.R.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Personas Naturales,Sin firma,Renovacion,Esencial,Vigencia 2 anos
SF.OF.P.S.R.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Personas Naturales,Sin firma,Renovacion,Estandar,Vigencia 2 anos
SF.OF.P.S.R.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Personas Naturales,Sin firma,Renovacion,Premium,Vigencia 2 anos
SF.OF.R.S.R.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Representante Legal,Sin firma,Renovacion,Mini,Vigencia 2 anos
SF.OF.R.S.R.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Representante Legal,Sin firma,Renovacion,Basico,Vigencia 2 anos
SF.OF.R.S.R.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Representante Legal,Sin firma,Renovacion,Esencial,Vigencia 2 anos
SF.OF.R.S.R.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Representante Legal,Sin firma,Renovacion,Estandar,Vigencia 2 anos
SF.OF.R.S.R.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Representante Legal,Sin firma,Renovacion,Premium,Vigencia 2 anos
SF.OF.M.S.R.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Miembro de empresa,Sin firma,Renovacion,Mini,Vigencia 2 anos
SF.OF.M.S.R.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Miembro de empresa,Sin firma,Renovacion,Basico,Vigencia 2 anos
SF.OF.M.S.R.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Miembro de empresa,Sin firma,Renovacion,Esencial,Vigencia 2 anos
SF.OF.M.S.R.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Miembro de empresa,Sin firma,Renovacion,Estandar,Vigencia 2 anos
SF.OF.M.S.R.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Miembro de empresa,Sin firma,Renovacion,Premium,Vigencia 2 anos
SF.AG.P.S.R.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Personas Naturales,Sin firma,Renovacion,Mini,Vigencia 2 anos
SF.AG.P.S.R.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Personas Naturales,Sin firma,Renovacion,Basico,Vigencia 2 anos
SF.AG.P.S.R.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Personas Naturales,Sin firma,Renovacion,Esencial,Vigencia 2 anos
SF.AG.P.S.R.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Personas Naturales,Sin firma,Renovacion,Estandar,Vigencia 2 anos
SF.AG.P.S.R.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Personas Naturales,Sin firma,Renovacion,Premium,Vigencia 2 anos
SF.AG.R.S.R.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Representante Legal,Sin firma,Renovacion,Mini,Vigencia 2 anos
SF.AG.R.S.R.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Representante Legal,Sin firma,Renovacion,Basico,Vigencia 2 anos
SF.AG.R.S.R.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Representante Legal,Sin firma,Renovacion,Esencial,Vigencia 2 anos
SF.AG.R.S.R.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Representante Legal,Sin firma,Renovacion,Estandar,Vigencia 2 anos
SF.AG.R.S.R.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Representante Legal,Sin firma,Renovacion,Premium,Vigencia 2 anos
SF.AG.M.S.R.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Miembro de empresa,Sin firma,Renovacion,Mini,Vigencia 2 anos
SF.AG.M.S.R.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Miembro de empresa,Sin firma,Renovacion,Basico,Vigencia 2 anos
SF.AG.M.S.R.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Miembro de empresa,Sin firma,Renovacion,Esencial,Vigencia 2 anos
SF.AG.M.S.R.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Miembro de empresa,Sin firma,Renovacion,Estandar,Vigencia 2 anos
SF.AG.M.S.R.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Miembro de empresa,Sin firma,Renovacion,Premium,Vigencia 2 anos
SF.TE.P.S.R.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Personas Naturales,Sin firma,Renovacion,Mini,Vigencia 2 anos
SF.TE.P.S.R.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Personas Naturales,Sin firma,Renovacion,Basico,Vigencia 2 anos
SF.TE.P.S.R.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Personas Naturales,Sin firma,Renovacion,Esencial,Vigencia 2 anos
SF.TE.P.S.R.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Personas Naturales,Sin firma,Renovacion,Estandar,Vigencia 2 anos
SF.TE.P.S.R.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Personas Naturales,Sin firma,Renovacion,Premium,Vigencia 2 anos
SF.TE.R.S.R.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Representante Legal,Sin firma,Renovacion,Mini,Vigencia 2 anos
SF.TE.R.S.R.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Representante Legal,Sin firma,Renovacion,Basico,Vigencia 2 anos
SF.TE.R.S.R.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Representante Legal,Sin firma,Renovacion,Esencial,Vigencia 2 anos
SF.TE.R.S.R.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Representante Legal,Sin firma,Renovacion,Estandar,Vigencia 2 anos
SF.TE.R.S.R.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Representante Legal,Sin firma,Renovacion,Premium,Vigencia 2 anos
SF.TE.M.S.R.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Miembro de empresa,Sin firma,Renovacion,Mini,Vigencia 2 anos
SF.TE.M.S.R.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Miembro de empresa,Sin firma,Renovacion,Basico,Vigencia 2 anos
SF.TE.M.S.R.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Miembro de empresa,Sin firma,Renovacion,Esencial,Vigencia 2 anos
SF.TE.M.S.R.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Miembro de empresa,Sin firma,Renovacion,Estandar,Vigencia 2 anos
SF.TE.M.S.R.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Tercero vinculado,Miembro de empresa,Sin firma,Renovacion,Premium,Vigencia 2 anos
SF.PR.P.S.R.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Personas Naturales,Sin firma,Renovacion,Mini,Vigencia 2 anos
SF.PR.P.S.R.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Personas Naturales,Sin firma,Renovacion,Basico,Vigencia 2 anos
SF.PR.P.S.R.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Personas Naturales,Sin firma,Renovacion,Esencial,Vigencia 2 anos
SF.PR.P.S.R.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Personas Naturales,Sin firma,Renovacion,Estandar,Vigencia 2 anos
SF.PR.P.S.R.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Personas Naturales,Sin firma,Renovacion,Premium,Vigencia 2 anos
SF.PR.R.S.R.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Representante Legal,Sin firma,Renovacion,Mini,Vigencia 2 anos
SF.PR.R.S.R.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Representante Legal,Sin firma,Renovacion,Basico,Vigencia 2 anos
SF.PR.R.S.R.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Representante Legal,Sin firma,Renovacion,Esencial,Vigencia 2 anos
SF.PR.R.S.R.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Representante Legal,Sin firma,Renovacion,Estandar,Vigencia 2 anos
SF.PR.R.S.R.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Representante Legal,Sin firma,Renovacion,Premium,Vigencia 2 anos
SF.PR.M.S.R.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Miembro de empresa,Sin firma,Renovacion,Mini,Vigencia 2 anos
SF.PR.M.S.R.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Miembro de empresa,Sin firma,Renovacion,Basico,Vigencia 2 anos
SF.PR.M.S.R.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Miembro de empresa,Sin firma,Renovacion,Esencial,Vigencia 2 anos
SF.PR.M.S.R.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Miembro de empresa,Sin firma,Renovacion,Estandar,Vigencia 2 anos
SF.PR.M.S.R.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Preferenciales,Miembro de empresa,Sin firma,Renovacion,Premium,Vigencia 2 anos
SF.ON.P.S.U.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Personas Naturales,Sin firma,Upgrade,Mini,Vigencia 2 anos
SF.ON.P.S.U.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Personas Naturales,Sin firma,Upgrade,Basico,Vigencia 2 anos
SF.ON.P.S.U.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Personas Naturales,Sin firma,Upgrade,Esencial,Vigencia 2 anos
